AC,AM,AP,MA,MT,PA,RO,RR,TO,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018
257,1001,24,265,1561,2433,1243,132,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,405,70,828,1049,4281,482,121,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305,523,27,269,757,1741,773,124,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0
398,788,30,674,4333,5659,2049,231,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0
592,775,33,922,7145,5899,3244,133,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0
444,1045,24,253,1490,2744,1316,195,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,604,100,1271,3258,5607,1136,574,107,0,0,0,1,0,0,0,0,0,0,0,0,0,0
280,502,66,396,1120,3008,865,141,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0
309,500,31,257,1075,1887,684,219,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0
372,1129,17,258,1489,2992,1376,202,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,610,39,631,2678,5526,1611,309,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,595,53,712,871,3770,435,256,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0
